rackM5_X ,rackM5_Y ,rackM5_Z ,rackM1_X ,rackM1_Y ,rackM1_Z ,rackM2_X ,rackM2_Y ,rackM2_Z ,rackM6_X ,rackM6_Y ,rackM6_Z ,rackM3_X ,rackM3_Y ,rackM3_Z ,rackM4_X ,rackM4_Y ,rackM4_Z,rampM3_X,rampM3_Y,rampM3_Z,basketM2_X,basketM2_Y,basketM2_Z,basketM1_X,basketM1_Y,basketM1_Z,rampM1_X,rampM1_Y,rampM1_Z,basketM3_X,basketM3_Y,basketM3_Z,rampM2_X,rampM2_Y,rampM2_Z
273.7115784,1522.084595,23.10427475,60.18383408,1522.333862,16.03930664,7.018062592,1255.932861,25.77965164,657.5627441,-573.4595337,468.2409363,668.7359619,322.5200806,101.5755005,1210.328369,320.7522278,103.2052536,-35.68546677,950.3485107,27.58464241,-53.61265183,503.0237427,31.66028214,-105.4340515,881.4993896,28.55434799,-107.3241959,775.1254883,28.56899071,-106.3576889,662.2525635,30.08191681,-106.9570847,553.1121216,31.32208443
273.7997131,1522.427246,23.0515995,60.2231369,1522.129517,16.16181374,6.836776733,1255.915527,26.00388908,657.5609741,-573.4605103,468.2437744,669.0443726,322.6391296,101.4394455,1210.347046,320.7557678,103.1924362,-35.69316101,950.338562,27.60189819,-53.71612549,502.9398193,31.82939148,-105.429512,881.4988403,28.54780388,-107.310463,775.1377563,28.56747437,-106.3628159,662.2525635,30.0775013,-106.8947906,553.1809692,31.19993401
273.7786255,1522.417847,23.06352806,60.13773727,1522.303345,16.21998596,7.015665531,1255.923462,25.79355812,657.5618286,-573.460083,468.2422485,668.7509766,322.5189209,101.6008301,1210.35144,320.7433167,103.2062073,-35.7211113,950.2103271,27.7359314,-53.61437988,503.0862427,31.61631775,-105.4248047,881.4927979,28.54574203,-107.3212204,775.1426392,28.56827354,-106.3912125,662.2746582,30.0941391,-106.9096069,553.1680908,31.19736099
273.8752747,1521.778931,22.71345139,60.18370819,1522.236572,16.1916008,7.010468483,1255.919189,25.77926826,657.5814209,-573.4820557,468.2303467,669.0265503,322.6260376,101.4573059,1210.343628,320.754364,103.2266388,-35.47234344,950.0065918,27.69873428,-53.7109642,502.9464111,31.81312752,-105.436348,881.491394,28.54812622,-107.3094101,775.1296387,28.55183792,-106.4414139,662.1646729,30.24254799,-106.9040222,553.1743774,31.21389008
273.8494873,1522.091919,22.85401535,60.1990242,1522.202515,16.17588425,7.012163639,1255.925903,25.7911129,657.5651245,-573.4575806,468.2324829,668.758667,322.5571594,101.5571213,1210.328735,320.7556152,103.1942978,-35.69721985,950.2887573,27.63948822,-53.61332703,503.0245972,31.65481377,-105.4435654,881.4953613,28.55239868,-107.3155136,775.1306152,28.58160591,-106.4059219,662.2749023,30.09993935,-106.9013977,553.1602783,31.21425629
273.7973633,1521.933105,22.88750458,60.17509842,1522.243652,16.20009041,6.854457378,1255.906616,25.96540833,657.559021,-573.4602051,468.241333,669.0836182,322.7978516,101.1939087,1210.360474,320.737793,103.2105103,-35.71030426,950.2248535,27.72234917,-53.61070633,503.0263367,31.64600563,-105.4335632,881.5036621,28.55200005,-107.3202972,775.1357422,28.57030869,-106.4619827,662.2275391,30.20002365,-106.8995132,553.1669312,31.20517349
273.8432007,1522.019043,22.84101105,60.16669464,1522.261475,16.20836258,6.826012135,1255.904297,26.02042007,657.5693359,-573.4511719,468.2609558,669.0497437,322.632019,101.4425507,1210.324585,320.7476807,103.2147064,-35.54955292,950.2125854,27.58566666,-53.67866135,502.9705811,31.76111603,-105.436203,881.4833984,28.55886841,-107.3218079,775.140686,28.56939125,-106.4081039,662.2650146,30.10569382,-106.9058075,553.1670532,31.20722008
273.7295227,1522.245361,23.09045601,59.98237991,1522.359009,16.75964165,7.021492958,1255.938599,25.79128075,657.5715942,-573.4494019,468.2520752,669.0635376,322.7858887,101.1922531,1210.340576,320.725708,103.204155,-35.67288208,950.1737671,27.73013687,-53.61933899,503.0238953,31.65305519,-105.4408417,881.4935913,28.54638863,-107.335495,775.1433716,28.5844841,-106.3560333,662.2494507,30.07699203,-106.9069366,553.1854858,31.20977402
273.7033081,1522.075806,23.0813427,60.16986847,1522.288574,16.12906647,6.849402428,1255.92688,25.98050499,657.5665283,-573.4567871,468.2306519,669.0372925,322.7891541,101.2014618,1210.359741,320.7457275,103.1956711,-35.66730881,950.1619263,27.73936462,-53.67664337,503.0494995,31.67965508,-105.4323578,881.4831543,28.55733871,-107.3078003,775.12677,28.56321716,-106.3937531,662.2683716,30.09711075,-106.9004974,553.1781616,31.20646286
273.9555359,1522.182739,22.69140244,60.16168594,1522.213745,16.18579674,7.015479088,1255.922852,25.79662704,657.5640259,-573.4589233,468.2386475,669.0276489,322.6210938,101.4471893,1210.33606,320.7427063,103.187706,-35.69361115,950.1691895,27.75900841,-53.72217941,502.9606628,31.79653358,-105.4342041,881.49646,28.55671883,-107.3156433,775.1141357,28.553442,-106.348381,662.2596436,30.07716179,-106.8997955,553.1832886,31.20898819
